,Date,Births,Moon
188,July 7 2000,13658,Not Full
189,July 8 2000,9631,Not Full
190,July 9 2000,8586,Not Full
191,July 10 2000,12420,Not Full
192,July 11 2000,13584,Not Full
193,July 12 2000,12827,Not Full
194,July 13 2000,12980,Not Full
195,July 14 2000,13230,Not Full
196,July 15 2000,9627,Not Full
197,July 16 2000,8423,Full
198,July 17 2000,12053,Not Full
199,July 18 2000,13663,Not Full
200,July 19 2000,13001,Not Full
201,July 20 2000,13173,Not Full
202,July 21 2000,13027,Not Full
203,July 22 2000,9463,Not Full
204,July 23 2000,8166,Not Full
205,July 24 2000,12128,Not Full
206,July 25 2000,13176,Not Full
207,July 26 2000,12931,Not Full
208,July 27 2000,13155,Not Full
209,July 28 2000,12890,Not Full
210,July 29 2000,9465,Not Full
211,July 30 2000,8444,Not Full
212,July 31 2000,11860,Not Full
213,August 1 2000,13356,Not Full
214,August 2 2000,12835,Not Full
215,August 3 2000,13092,Not Full
216,August 4 2000,12940,Not Full
217,August 5 2000,9398,Not Full
218,August 6 2000,8350,Not Full
219,August 7 2000,11864,Not Full
220,August 8 2000,13693,Not Full
221,August 9 2000,13170,Not Full
222,August 10 2000,12953,Not Full
223,August 11 2000,12729,Not Full
224,August 12 2000,9305,Not Full
225,August 13 2000,8313,Not Full
226,August 14 2000,11927,Not Full
227,August 15 2000,13374,Full
228,August 16 2000,13174,Not Full
229,August 17 2000,13099,Not Full
230,August 18 2000,13124,Not Full
231,August 19 2000,9276,Not Full
232,August 20 2000,8346,Not Full
233,August 21 2000,12003,Not Full
234,August 22 2000,13406,Not Full
235,August 23 2000,12929,Not Full
236,August 24 2000,13021,Not Full
237,August 25 2000,12926,Not Full
238,August 26 2000,9341,Not Full
239,August 27 2000,8240,Not Full
240,August 28 2000,12074,Not Full
241,August 29 2000,13237,Not Full
242,August 30 2000,13111,Not Full
243,August 31 2000,13287,Not Full
244,September 1 2000,13145,Not Full
245,September 2 2000,9265,Not Full
246,September 3 2000,8248,Not Full
247,September 4 2000,8603,Not Full
248,September 5 2000,12200,Not Full
249,September 6 2000,13917,Not Full
250,September 7 2000,13512,Not Full
251,September 8 2000,13487,Not Full
252,September 9 2000,9860,Not Full
